Transaction Date and Time,Transaction Amount,Cardholder Name,Merchant Name,Transaction Source,Merchant Category Code (MCC),Transaction Location (City or ZIP Code),Transaction Currency,Card Type,Card Expiration Date,Previous Transactions,IP Address,Device Information,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,outlier_flag
24-09-2022,285.88,Shray Soman,"Rajagopalan, Ghose and Kant",Online,3590.0,Khammam,INR,MasterCard,01-04-2029,,18.106.240.6,Tablet,,,,,,,,0
24-07-2020,1777.32,Lakshit Bakshi,Sule PLC,Online,7277.0,Vasai-Virar,EUR,American Express,01-03-2026,,212.48.185.128,Mobile,,,,,,,,0
18-03-2023,3939.01,Riya Bobal,Badal PLC,In-Person,9297.0,Nangloi Jat,USD,Visa,01-11-2029,3 or more,17.190.112.46,Mobile,,,,,,,,0
07-01-2021,376.44,Mohanlal Balakrishnan,Konda-Sodhi,In-Person,5686.0,Ramagundam,USD,Visa,01-09-2025,2,153.136.24.104,Tablet,,,,,,,,0
16-12-2021,1687.33,Mannat Rout,Dua Ltd,Online,2940.0,Adoni,INR,MasterCard,01-03-2031,2,196.153.28.131,Desktop,,,,,,,,0
14-01-2020,3341.97,Lagan Dutt,Ramesh Inc,In-Person,9661.0,Farrukhabad,USD,American Express,01-05-2027,2,112.90.206.208,Mobile,,,,,,,,0
25-07-2021,1212.14,Neelofar Sangha,"Sachar, Gera and Deol",In-Person,8036.0,Agartala,USD,MasterCard,01-02-2030,1,218.154.139.160,Desktop,,,,,,,,0
08-05-2022,1117.52,Samiha Ravi,"Bhasin, Jain and Chada",Online,5678.0,Dehri,EUR,Visa,01-09-2026,2,150.7.29.164,Mobile,,,,,,,,0
19-08-2022,388.16,Vihaan Walla,Sha Inc,In-Person,5772.0,Gangtok,EUR,Visa,01-12-2025,1,219.61.43.198,Desktop,,,,,,,,0
10-09-2022,4514.53,Ivan Loyal,"Sant, Chawla and Wali",In-Person,8521.0,Aizawl,USD,Visa,01-08-2029,3 or more,39.33.247.78,Tablet,,,,,,,,0
19-04-2020,1805.22,Hiran Subramaniam,Roy-Dugar,In-Person,2861.0,Darbhanga,EUR,American Express,01-10-2028,2,78.90.166.61,Mobile,,,,,,,,0
23-06-2022,2346.0,Neysa Swaminathan,"Sarin, Vaidya and Thaman",Online,9217.0,Thoothukudi,EUR,American Express,01-03-2026,1,189.141.204.144,Tablet,,,,,,,,0
09-04-2021,453.19,Ritvik Lall,"Bose, Krishnamurthy and Deep",Online,7385.0,Kamarhati,INR,Visa,01-04-2029,,182.126.13.194,Mobile,,,,,,,,0
06-05-2020,2538.36,Samar Sridhar,Luthra-Bandi,In-Person,8648.0,Tadipatri,USD,Visa,01-05-2026,2,138.66.205.73,Mobile,,,,,,,,0
10-10-2021,4572.85,Kiara Desai,Anand Group,In-Person,3001.0,Vijayanagaram,EUR,MasterCard,01-12-2024,,162.26.105.72,Desktop,,,,,,,,0
03-05-2022,4172.21,Tanya Khalsa,"Randhawa, Khanna and Kamdar",In-Person,2162.0,Bhagalpur,USD,Visa,01-08-2030,1,151.74.51.49,Mobile,,,,,,,,0
21-03-2023,1042.79,Samiha Chauhan,Warrior Ltd,In-Person,1654.0,Bokaro,INR,Visa,01-12-2028,,209.245.72.246,Mobile,,,,,,,,0
08-11-2022,907.46,Sara Gala,Brar LLC,In-Person,8544.0,Hyderabad,INR,MasterCard,01-12-2027,2,158.121.35.23,Desktop,,,,,,,,0
02-04-2023,3347.31,Vihaan Lad,Bhatnagar-Sodhi,In-Person,9263.0,Vijayawada,INR,MasterCard,01-02-2031,2,125.60.213.254,Desktop,,,,,,,,0
17-05-2022,4014.63,Khushi Bhat,"Butala, Saraf and Banik",In-Person,3962.0,Cuttack,INR,MasterCard,01-03-2026,2,186.38.145.46,Tablet,,,,,,,,0
30-05-2023,2971.68,Aaryahi Bhatnagar,Bawa Ltd,In-Person,5122.0,Haldia,USD,MasterCard,01-01-2024,,219.141.199.105,Tablet,,,,,,,,0
26-08-2023,754.33,Sana Bava,"Gera, Dora and Dara",Online,1551.0,Malda,INR,Visa,01-08-2030,,142.56.219.180,Mobile,,,,,,,,0
17-07-2020,73.77,Taimur Ganesan,"Verma, Issac and Kapadia",Online,4751.0,Bidar,USD,MasterCard,01-12-2029,3 or more,185.11.160.187,Tablet,,,,,,,,0
31-05-2023,3006.39,Anaya Tella,Acharya-Kashyap,In-Person,1046.0,Kurnool,INR,American Express,01-10-2026,,88.66.44.202,Mobile,,,,,,,,0
08-10-2023,840.62,Eshani Shankar,Bhargava-Mangat,In-Person,9491.0,Meerut,EUR,MasterCard,01-12-2028,,217.47.169.131,Desktop,,,,,,,,0
12-09-2021,4666.18,Biju Sekhon,"Kothari, Dhillon and Sandhu",Online,4830.0,Dharmavaram,USD,Visa,01-01-2030,1,172.233.211.200,Mobile,,,,,,,,0
06-07-2022,2921.57,Rhea Sahota,Sankaran-Sandal,In-Person,3197.0,Khammam,INR,Visa,01-07-2030,2,209.190.156.203,Tablet,,,,,,,,0
08-11-2020,4326.69,Kiara Yadav,Venkataraman-Dhar,Online,1655.0,Erode,USD,MasterCard,01-07-2029,3 or more,204.234.68.60,Desktop,,,,,,,,0
02-05-2023,1448.31,Vihaan Dhingra,"Swamy, Chawla and Boase",In-Person,6818.0,Bareilly,USD,American Express,01-04-2027,3 or more,48.39.251.114,Mobile,,,,,,,,0
24-01-2023,2480.39,Yasmin Sarraf,Grover Inc,In-Person,8174.0,Kavali,EUR,Visa,01-10-2026,2,137.213.171.238,Mobile,,,,,,,,0
